qid,query,docid,doc_text,rel
404,mobile signal,D404,Scene any party executive food develop brother respond apply my sport appear outside option.,3
405,cloud computing,D405,Carry pressure style responsibility break throughout project weight interesting learn field away fire bring help.,1
406,network coverage,D406,Prove list year magazine hour indicate scene stay somebody agent paper group find.,3
407,network coverage,D407,And must away much forget public network clearly until usually section after pressure you strong.,2
408,data science,D408,Ago enter soldier appear response girl mouth by.,0
409,network coverage,D409,Market political dog they hair within poor project happen leave in able.,3
410,data science,D410,Bag describe one oil condition commercial begin mission drop board inside a drop many tough.,3
411,mobile signal,D411,Position page score fire talk thousand article six herself candidate Republican time base fact.,1
412,machine learning,D412,Training land fast character reach hand and day scene of eat side moment such student security.,1
413,network coverage,D413,Eye year station live throughout appear glass member cover summer.,0
414,artificial intelligence,D414,Impact reason whose professor four late talk single question must address wish benefit as wonder letter.,3
415,internet speed,D415,Board father spend return wait draw American arm hold.,3
416,cell tower,D416,Behind toward side move term hard industry ask.,1
417,internet speed,D417,As home age it year run mother.,2
418,internet speed,D418,Figure strong budget serious pressure type take last them without financial will coach dog color.,2
419,cell tower,D419,Student high analysis power something travel hard task join technology research sometimes certain how technology.,1
420,cell tower,D420,President summer while imagine cover relationship remember lead girl choice practice matter over organization system.,0
421,birds raised,D421,Would else option job economic benefit seek the various already husband add.,2
422,internet speed,D422,Question senior stop actually three parent citizen allow article base more project.,0
423,artificial intelligence,D423,Six discuss create could why involve hundred.,1
424,wifi connection,D424,Clear record or detail movement director purpose peace store.,0
425,mobile signal,D425,Commercial particular fast seek late stock view small political.,2
426,internet speed,D426,Become PM six give policy wish as stop.,0
427,artificial intelligence,D427,Will account impact time shoulder someone can position only teach bad job change evening.,3
428,artificial intelligence,D428,Because give energy accept whom owner leader.,2
429,cloud computing,D429,Want price cell protect movie assume also daughter thank.,2
430,data science,D430,Hear future chance yourself carry edge his program myself toward another tree role floor writer.,1
431,data science,D431,Within certainly approach he already enough card authority.,3
432,machine learning,D432,Author them yet painting raise table cause foreign build southern.,0
433,network coverage,D433,Return particularly success seem card hundred score billion nation.,1
434,data science,D434,Cultural factor full goal traditional vote author energy bad side.,3
435,machine learning,D435,We address game force Mr analysis less have measure our girl buy as through.,3
436,cell tower,D436,American half book dog last cup out fund commercial third.,2
437,internet speed,D437,Somebody buy discussion democratic policy anyone never.,2
438,machine learning,D438,Art day evidence since fill send available rate tend fear program response.,0
439,wifi connection,D439,Manager organization should growth now a open.,1
440,data science,D440,Major soldier economy perform capital standard great begin more exist great look water call forward food.,1
441,cloud computing,D441,Military benefit clearly compare fly four drop most own century city Democrat include likely.,1
442,cloud computing,D442,Must half system agree act alone structure evidence more camera purpose.,2
443,mobile signal,D443,Activity accept ever build need people lawyer rise big.,0
444,machine learning,D444,However month nature difference necessary relate let of staff leave trouble person easy yard reality.,3
445,internet speed,D445,Protect sense responsibility central service parent red TV describe course sea order account.,1
446,cloud computing,D446,Develop tell assume statement hard Congress well environmental test fire cell front.,0
447,wifi connection,D447,College while tell their soldier trouble book nearly in have whose leg future.,2
448,machine learning,D448,Eight minute song dinner stand have himself sit evening drive building among.,0
449,internet speed,D449,Number attack particular test newspaper begin lose.,3
450,artificial intelligence,D450,Responsibility play room later wind friend very value writer.,2
451,internet speed,D451,Role water memory indicate baby cold information street.,0
452,internet speed,D452,Light down animal three dinner whole vote day eat course test stand.,2
453,machine learning,D453,Rather control meet drop team glass today child hope.,1
454,network coverage,D454,Politics so identify economy role include offer behind college street figure exactly evening whatever such.,0
455,wifi connection,D455,Present be better should expert project agent everything unit again point energy natural.,0
456,cell tower,D456,Air how although something until image few expect.,2
457,birds raised,D457,Child economic region rate state number character.,1
458,cell tower,D458,Fall eight free instead third door member huge security so sit character.,1
459,wifi connection,D459,City daughter decision data establish ball service live bag evening.,1
460,internet speed,D460,Why film rise could less red sea customer above down recent number yeah.,2
461,cell tower,D461,Opportunity indicate example culture place modern smile direction end listen security enough process.,3
462,machine learning,D462,Answer PM detail performance hour idea future face hot business hope.,2
463,wifi connection,D463,Note spring according necessary right like which often room shoulder develop although some figure.,0
464,birds raised,D464,Necessary why former civil high environmental former class according cup front action agency.,3
465,data science,D465,Change believe teach myself adult too player management hear however green serve.,1
466,data science,D466,Live edge ask hand each even interview month father police.,1
467,mobile signal,D467,Small mission thing defense order treatment authority reason policy.,2
468,network coverage,D468,Skin matter ahead organization determine relationship amount left case account probably.,0
469,cloud computing,D469,Character memory national capital front one dog manager personal commercial left.,2
470,wifi connection,D470,Staff plant no politics race nation price.,1
471,network coverage,D471,Cultural somebody center single last environment pattern choice former group.,0
472,data science,D472,Business although operation produce meeting where suffer pretty could foot southern system certainly training ground.,2
473,data science,D473,Report reach charge financial near cut result upon personal night style how conference.,1
474,birds raised,D474,Her office city member identify structure son help choose end black thing standard determine walk.,1
475,mobile signal,D475,Little shoulder cut however fast network not for.,0
476,cell tower,D476,View reason wrong she common last chance head mission hold develop yeah.,3
477,artificial intelligence,D477,Look yourself relationship can interview hard risk us.,2
478,cell tower,D478,Care some weight high doctor determine money yard free try bag Democrat.,3
479,internet speed,D479,Especially often rate risk practice avoid every radio bring plan decade.,3
480,mobile signal,D480,Nation down attention administration what great left public huge share yet.,0
481,birds raised,D481,Floor course his behind else type identify expert win rate present address professional.,0
482,internet speed,D482,Point would year game ten last edge determine enjoy fill.,2
483,cell tower,D483,Series season season production body feel less enjoy four number.,2
484,data science,D484,Call unit though change president watch under market executive head population represent east.,1
485,machine learning,D485,Deal moment business financial exist our evidence official citizen figure technology money talk run.,2
486,mobile signal,D486,Part consider concern field receive science market professional which body region class.,3
487,mobile signal,D487,But share away scientist perhaps recently cost lose key product wall pay road most.,2
488,artificial intelligence,D488,Leader call can cultural wall claim rate skill source teach north help should a employee collection.,2
489,mobile signal,D489,Whether management policy keep peace indicate imagine cultural maintain suddenly yeah.,1
490,birds raised,D490,Executive song remember law black who game billion cup question kid rule.,3
491,cloud computing,D491,Attack say newspaper same environment guess writer trial bill.,2
492,network coverage,D492,Get lot film rock movie month leader.,0
493,birds raised,D493,Fast everyone else be stuff even role phone.,1
494,birds raised,D494,Treatment listen its a support accept scene any why television know measure space part.,0
495,artificial intelligence,D495,That see between style suddenly none kind player name themselves industry certainly catch create.,0
496,birds raised,D496,Generation world hear movie smile nor guess but evening either range fact today staff future.,1
497,birds raised,D497,Unit would drop teach according speech head.,2
498,mobile signal,D498,Treat environmental for today likely fine risk far improve scientist pick include remain his.,0
499,internet speed,D499,Compare level room somebody with check lot water spring around local.,1
500,machine learning,D500,Attorney budget half safe role up space free who then.,0
501,internet speed,D501,Enough enough strategy foreign themselves magazine market reality economy any worker Congress.,2
502,cell tower,D502,Spring age arrive appear box prevent help cover senior free chance.,0
503,machine learning,D503,Home success almost speech despite old Democrat off west.,3
504,birds raised,D504,Available generation forget subject grow ok describe newspaper collection experience organization owner later.,0
505,internet speed,D505,Always power poor catch share skin near decide machine nor window.,2
506,wifi connection,D506,Air receive consider often rule if need front source.,1
507,artificial intelligence,D507,Paper film foot final medical certainly which white light.,2
508,wifi connection,D508,Long health decide project building technology sure small the movie simply.,1
509,machine learning,D509,Base step long outside news scene kitchen training friend personal difference kitchen east.,0
510,cell tower,D510,Performance stand five create summer instead bill drive kitchen.,2
511,artificial intelligence,D511,Morning less sound contain statement mention respond just along class throw eye family girl.,1
512,internet speed,D512,Cost support room address fast firm hear someone scene center recent tax bill.,1
513,cloud computing,D513,Within police store reduce son window ever their response per consumer.,1
514,data science,D514,Article military process moment air plan front when away set suddenly until unit.,1
515,internet speed,D515,Agreement hit arm down partner those make popular their seem give with some ready heavy reveal.,3
516,wifi connection,D516,Late kid skill hard hold say visit side professional herself community particularly feel.,0
517,mobile signal,D517,Tell computer letter accept manage allow song consumer different name.,3
518,internet speed,D518,Himself full customer want word until PM.,0
519,network coverage,D519,Story focus fill ready along agreement or thousand remember down.,1
520,machine learning,D520,Material suggest only themselves wall foreign sure quite century dark civil nice difference Mr.,2
521,cell tower,D521,Strong down staff clearly country fear mouth ready member star accept seat say staff easy rock.,0
522,cell tower,D522,However necessary more him my protect court.,0
523,internet speed,D523,Position wide well strategy again play science do night five.,2
524,machine learning,D524,Trouble early understand health art deal mind authority cup particular west staff statement.,2
525,network coverage,D525,Woman marriage own majority it involve lawyer technology.,1
526,artificial intelligence,D526,Kid style PM as way view deep.,2
527,internet speed,D527,Citizen more capital open city wish book together necessary stop opportunity.,0
528,network coverage,D528,Green them particularly by attorney whom college each.,1
529,network coverage,D529,Structure seek view cold compare theory leg dinner other.,1
530,data science,D530,Language increase or adult shake me day have listen television analysis anyone summer same such.,3
531,wifi connection,D531,Authority another citizen choice poor market group name attack office unit her.,1
532,network coverage,D532,Support hour three must movement draw place over project.,2
533,internet speed,D533,Government walk institution listen friend prove generation and assume open west institution century.,2
534,artificial intelligence,D534,Political way maybe those but itself during car measure card.,3
535,birds raised,D535,Before sort green stock today degree discuss alone help but it radio billion.,0
536,mobile signal,D536,Hotel box become break feeling turn hot environmental defense article skin every we of artist subject.,0
537,cloud computing,D537,Receive north population sell easy partner evidence market fine.,0
538,internet speed,D538,Leg boy ten role event area group piece.,2
539,machine learning,D539,Contain grow recognize city two any charge would general part.,3
540,cell tower,D540,Record cultural interview sure over pressure reality degree wonder.,3
541,artificial intelligence,D541,Sister less pull peace ever two particularly successful center.,3
542,wifi connection,D542,History involve offer kind figure give tax expect recognize.,2
543,network coverage,D543,He in size wall fact plan agent bed agent mouth enough positive big number present may.,2
544,wifi connection,D544,List national lay else mother despite name.,1
545,data science,D545,It oil front once collection relationship play poor green every election serve upon.,2
546,data science,D546,Security process low result production bring measure opportunity more sea summer.,2
547,wifi connection,D547,Quality mother military available find without agent clearly seat audience show his just seem small.,1
548,wifi connection,D548,Office week push travel become then high certain ten alone than save allow opportunity.,1
549,internet speed,D549,Appear raise explain race why herself act manager smile several Congress.,1
550,birds raised,D550,Cell say form reason people garden study offer present.,2
551,cell tower,D551,Else yes decade somebody explain beat take whether opportunity debate create free find.,2
552,network coverage,D552,Modern involve lead question deep instead factor attack marriage last.,0
553,wifi connection,D553,Allow stop dark deep young close once skill wind.,0
554,birds raised,D554,Church they bar according no scene keep sister there keep act.,1
555,data science,D555,On structure however thought no treatment member use happy allow whatever course financial exist across.,3
556,mobile signal,D556,Pm where blood great base pay share since important reveal sign state go.,0
557,internet speed,D557,Popular including as still quite minute ability.,3
558,birds raised,D558,Democratic by read church campaign clearly fast.,1
559,internet speed,D559,Exactly whose argue sit sport possible become with usually.,2
560,cloud computing,D560,Yeah pattern successful else rather area might upon write.,0
561,birds raised,D561,Force huge fact tell child end actually agreement fast up listen capital over.,2
562,birds raised,D562,Receive as security measure that mission foreign perhaps fact parent week fire bank just not.,2
563,data science,D563,Discuss effect thousand night rate college week fine affect system peace sometimes.,0
564,wifi connection,D564,Receive whole night same voice cell director perhaps environmental add around trouble little level buy.,0
565,machine learning,D565,Main simply magazine himself design hotel develop total reach prove power charge perhaps.,0
566,cloud computing,D566,Heavy candidate experience trip term world do.,2
567,network coverage,D567,Able ask law administration computer compare tell.,0
568,artificial intelligence,D568,Since east thousand this successful role everything recent.,1
569,cell tower,D569,Listen too mother already occur throughout only subject ok take front successful detail put join.,2
570,wifi connection,D570,Personal democratic after gun career later though.,3
571,machine learning,D571,Billion character key hotel back thank believe own without yes bank describe drug forget indicate.,1
572,cell tower,D572,Safe himself radio news every loss attorney tree black company realize option miss.,3
573,artificial intelligence,D573,Message ten seem why half each top.,3
574,cell tower,D574,Kitchen level war detail everything ten face long record book her modern whole available alone usually.,0
575,internet speed,D575,According stage light space ball pattern play hope central commercial.,3
576,machine learning,D576,Station address edge say camera paper knowledge.,3
577,cloud computing,D577,View beyond institution design possible but at improve community per professional power like middle.,1
578,internet speed,D578,Stay explain report about should away beautiful third technology.,1
579,mobile signal,D579,Down key thought center continue receive by property check me would speak upon history wide week.,0
580,artificial intelligence,D580,Eat board must especially partner now deep throw.,1
581,artificial intelligence,D581,Peace between color rest race forget choice wide memory south.,2
582,wifi connection,D582,Middle school miss system bill test case who.,0
583,wifi connection,D583,Both mission authority than member local would game stage answer life family.,0
584,machine learning,D584,Skin machine spend success success also care when learn sense teach.,2
585,network coverage,D585,Democrat area candidate remain keep throughout in ago.,0
586,cell tower,D586,Hair civil figure investment everybody night us book where.,1
587,artificial intelligence,D587,Rest deal center hit environment expect important or guess.,3
588,cloud computing,D588,Family buy successful perform quickly check kitchen adult any wall fund produce.,2
589,cloud computing,D589,Now out professor never story science experience near somebody travel.,0
590,birds raised,D590,Future from glass blood positive similar bad project bit foot increase left fish.,2
591,data science,D591,Occur development continue detail federal bring policy gun property fact close available impact attorney design specific.,0
592,artificial intelligence,D592,Fly be various college avoid charge clear fund throw partner these read crime choice.,3
593,data science,D593,Likely family statement apply body eight process must forget.,1
594,wifi connection,D594,Direction myself everyone within assume middle firm today already page official serious quickly my concern.,0
595,machine learning,D595,Party expert challenge image certain thing than worry collection.,3
596,birds raised,D596,Energy guess however general information soon teacher beyond owner though stage paper thank off always.,3
597,artificial intelligence,D597,Show still next street quickly sure of box common lead culture red detail prove.,1
598,mobile signal,D598,Executive box air treatment although check safe leader record chair reduce pattern produce see business others.,3
599,artificial intelligence,D599,Smile court I around dream son church everyone.,2
600,internet speed,D600,Style hand real yard ever safe car trip.,0
601,cell tower,D601,Ability art pick building plant recognize tax well color.,2
602,cloud computing,D602,Executive source southern meet book democratic really.,2
603,internet speed,D603,Walk rest red wind get action water today woman.,2
604,network coverage,D604,Forget culture similar necessary relationship bar past ago until heart.,2
605,mobile signal,D605,Someone above program quality nature star structure consider until ever.,3
606,mobile signal,D606,Behind spend college evening available money nation life commercial hot evidence crime present star.,1
607,machine learning,D607,Focus dark great level party free method dark bank authority receive down course suddenly itself.,0
608,birds raised,D608,Certain right natural in themselves everyone imagine.,2
609,birds raised,D609,Develop society program official build deal owner threat interview baby family himself method night.,1
610,mobile signal,D610,Policy in natural message move ask marriage item church figure talk time lawyer TV.,1
611,birds raised,D611,Put trial line audience hard process fly agree nearly nor blue more control.,3
612,network coverage,D612,Network apply wall quickly keep property require summer training factor part mother.,0
613,wifi connection,D613,Away rise home site base rock safe provide point stage or.,1
614,wifi connection,D614,Member three cultural find number law region size year.,0
615,artificial intelligence,D615,Program major bank human mouth get mind after picture.,0
616,birds raised,D616,Best whose leader away actually foot begin bit staff north stage.,0
617,network coverage,D617,Add to arm most if run hope explain.,2
618,network coverage,D618,Crime television effect along add area investment course news science gun director.,1
619,wifi connection,D619,Build little area east read American after tend think art.,2
620,network coverage,D620,Sign purpose find particular open anything capital traditional can know know who.,1
621,artificial intelligence,D621,Today improve let a idea gas its live painting too.,0
622,cloud computing,D622,Whole focus as board base save need water develop we recognize reach.,3
623,cell tower,D623,Evening remain standard like throw break sister machine fast home.,3
624,data science,D624,Behavior account attack it still thought station you consider successful act surface break walk.,2
625,wifi connection,D625,Environmental down outside black oil standard challenge safe worry protect.,0
626,data science,D626,Congress bank threat environmental role score person experience language air look.,0
627,wifi connection,D627,Couple score employee system clear human worker opportunity hold near military clear road.,0
628,data science,D628,Open experience own size former me measure out fire side among Democrat.,2
629,network coverage,D629,Day agent bag save rock eight study stand every since need heavy ok sort message.,3
630,mobile signal,D630,Chance sound degree course see happy almost bar above turn culture able.,0
631,cell tower,D631,Paper fire nor edge film Republican everyone result only may.,2
632,data science,D632,Voice talk around news weight learn anything culture eight attorney kid director husband surface trade.,3
633,network coverage,D633,Notice anyone for month he thousand total expect agree charge.,1
634,wifi connection,D634,Will high work wind official ability whose leader best clear know second.,2
635,cell tower,D635,Manager apply purpose though standard staff into technology herself.,0
636,network coverage,D636,Company television well staff whatever likely authority television memory less provide nation.,3
637,birds raised,D637,Wonder girl statement yard air treat what do we.,1
638,birds raised,D638,During face mean stand up check ball purpose one race note.,0
639,artificial intelligence,D639,Party management set help place see old admit include drive particularly discover development.,2
640,cell tower,D640,Suggest capital window plan physical society page left quality.,1
641,internet speed,D641,Age material somebody whatever pattern else right week usually.,2
642,internet speed,D642,Ability better speech similar north whom president whose fact.,1
643,internet speed,D643,Learn little enter million course participant provide sing year western section before direction world.,2
644,network coverage,D644,Get only detail know skin hit American face mean institution rule from trouble this guess.,2
645,artificial intelligence,D645,Site not simple college food media eye successful.,0
646,data science,D646,Decide if short maintain crime practice camera.,3
647,artificial intelligence,D647,Adult push fund marriage amount speech live it either really who.,3
648,artificial intelligence,D648,Soon keep production person store indicate particular war itself remain.,1
649,data science,D649,Baby single writer clearly yeah whether join each start child since.,2
650,cell tower,D650,It matter former course health key court analysis carry try risk sell yet several.,2
651,birds raised,D651,Particular close through stuff hard be create executive would role several.,3
652,cell tower,D652,Piece design of marriage economy end police month unit fast person.,2
653,data science,D653,Issue baby Congress reason health camera leg check his color herself believe.,1
654,birds raised,D654,Picture building song cell eat material record allow.,3
655,network coverage,D655,Page by citizen operation hotel author movie capital behavior type.,3
656,data science,D656,Leader woman true plant economic old include wind three watch.,1
657,cloud computing,D657,Keep stand her his cultural save hit may too charge debate police.,1
658,cloud computing,D658,Trade white main nearly themselves across phone responsibility.,2
659,artificial intelligence,D659,Gas man choose music with public effort off often shake instead on language a economy.,2
660,mobile signal,D660,Have mission network general star rate east born whatever fast firm state explain down director.,1
661,cloud computing,D661,Campaign guess machine feel sister most audience yourself whom his crime baby clearly wrong may.,0
662,wifi connection,D662,By person share establish visit fall find learn hair court thought.,2
663,data science,D663,Run woman also deal many catch sense coach she final who.,1
664,cloud computing,D664,Moment character major crime read hope two position evidence attack something red street professor.,1
665,birds raised,D665,Station exactly face recently stock knowledge prove continue more.,0
666,wifi connection,D666,Stop pull feel human above agent month parent treatment accept lose direction.,0
667,artificial intelligence,D667,Animal film somebody material nearly consider many fill detail evidence table interesting exist area.,0
668,cloud computing,D668,Base indeed compare speech question heart middle chance around practice center generation.,0
669,artificial intelligence,D669,Purpose share total must after arrive great exactly Democrat throughout card assume.,1
670,artificial intelligence,D670,Think industry collection skin you hold especially drug speak line agent we could also.,1
671,artificial intelligence,D671,Hand perhaps thought of mean raise fish them.,3
672,cloud computing,D672,Join picture in everything teach woman late interview surface tell official hot.,1
673,wifi connection,D673,Mention painting not store be fill early method one analysis lose can it.,1
674,machine learning,D674,Prove actually money last through drop will value young economic south page phone red enough many.,0
675,machine learning,D675,Wall effect could recognize side third really them statement end project picture customer meeting reason place.,1
676,cloud computing,D676,Indicate nature majority step require language side fine management stage able.,2
677,cell tower,D677,Each senior their mouth even determine side eat.,3
678,mobile signal,D678,Player thank big there argue writer artist give black moment upon along sure short institution prevent.,1
679,cloud computing,D679,Rock add discussion pretty yet help director carry increase medical science member think beautiful nice.,1
680,data science,D680,Truth floor everyone machine third avoid management shoulder decide.,2
681,cell tower,D681,Start produce consider despite nice order size win organization another quite return human.,2
682,data science,D682,Group gas result hit wide necessary true.,2
683,mobile signal,D683,Democratic identify subject significant expert analysis significant knowledge.,1
684,network coverage,D684,Forward street recent dinner grow across admit decision ready most grow goal house bring expert.,2
685,birds raised,D685,Office wear yeah factor drug out hospital year admit draw some paper employee money.,2
686,data science,D686,Back people just near then bag reason wide ball seek especially treatment scene.,1
687,wifi connection,D687,Trial trip happen present prepare artist usually as support.,3
688,cell tower,D688,Require yeah do gas piece down artist still.,1
689,data science,D689,Spring development address though pay deal son sing guy head sing far.,2
690,mobile signal,D690,Baby defense major contain conference other structure number media social per customer military already customer paper.,1
691,wifi connection,D691,Image president that upon win rule easy choose artist child page.,2
692,wifi connection,D692,Morning time money year those both cultural rise three suffer.,1
693,mobile signal,D693,Best home difficult yourself different environment form include ground once feeling appear turn thus.,0
694,cell tower,D694,Themselves short more all book news short on for world very.,2
695,machine learning,D695,Company reach culture tough top keep maintain history range know your.,2
696,mobile signal,D696,Last budget answer movie recent page indeed particularly.,2
697,birds raised,D697,Look very society your student modern never perform important hard garden fall.,3
698,internet speed,D698,Thousand organization likely around phone red case town act usually full ten way night usually.,2
699,cloud computing,D699,But future discuss behind least finish perhaps service eye.,2
700,artificial intelligence,D700,Official total general buy street it year appear free think mention phone significant great.,0
701,cell tower,D701,Result ability mission spring business again medical money become coach.,3
702,data science,D702,Probably however a consumer system throw husband.,3
703,machine learning,D703,Anyone personal speech modern service country beyond soon consider difference kid half street three.,0
704,wifi connection,D704,Half peace reveal skin movement from there.,0
705,wifi connection,D705,Memory anyone watch candidate mention three or central establish.,0
706,network coverage,D706,Major class standard economic before arrive wind matter painting.,1
707,artificial intelligence,D707,Letter continue him really enjoy structure thousand five improve effort.,0
708,network coverage,D708,Environment mission however skin act return without do know side whole describe ten.,1
709,machine learning,D709,Seven listen walk threat nation situation language others table return resource remember easy fish each wrong.,0
710,cloud computing,D710,Where best game democratic moment pay rule listen western impact both.,1
711,cell tower,D711,Popular game house up care red new.,1
712,network coverage,D712,International box main simple world man born Mr oil.,0
713,birds raised,D713,Reveal brother man fire black paper develop.,1
714,internet speed,D714,Magazine night get institution event democratic southern really.,1
715,cloud computing,D715,Across phone this I short letter boy moment white pressure skin white hope city.,3
716,data science,D716,For final very pay bill model long building style pull TV would.,0
717,network coverage,D717,Player television again kitchen ahead chance away rich smile sometimes smile against line similar.,2
718,cloud computing,D718,Appear room nor economic property police fire sell while.,3
719,cloud computing,D719,Partner process see or rich major keep available apply wonder he.,0
720,data science,D720,Should teach threat political others own loss assume raise stop class important do where.,3
721,birds raised,D721,Test where economy could color evidence others everyone in create similar hard glass fish treatment.,3
722,cloud computing,D722,Stand it increase people prove address present agency eight situation office care thing little.,3
723,cell tower,D723,Poor book system key floor first foot under it benefit.,1
724,artificial intelligence,D724,Something something first coach in cultural future trade later else alone process accept ever trade.,2
725,cell tower,D725,Through moment firm court note response likely mean single born.,1
726,data science,D726,Per course from best even support commercial run animal allow office fast big.,0
727,wifi connection,D727,Consumer off indeed you production side anything.,0
728,internet speed,D728,Worker rest difference people wrong same human technology field foot fall economy.,3
729,artificial intelligence,D729,Risk standard near could approach animal pull many.,1
730,birds raised,D730,Open certain front dinner ability tend simple approach million.,3
731,cell tower,D731,Civil likely someone year real fast what do political recent skin own yet almost mean.,3
732,network coverage,D732,Discuss require six term exist if body every task miss morning.,1
733,machine learning,D733,Product yard night third citizen discussion majority phone.,1
734,artificial intelligence,D734,Forget news work talk degree western camera their most.,3
735,birds raised,D735,Action speech out beautiful total growth either former attention table arrive.,1
736,artificial intelligence,D736,Relationship produce study ball will watch rule.,2
737,cell tower,D737,Soldier war ground day while include call begin environment eye suggest test.,1
738,internet speed,D738,Just reflect college growth old teach skill.,3
739,cloud computing,D739,Main answer range pay development garden current possible most.,0
740,cell tower,D740,Media again pass spend professional lose sort hear time.,2
741,cloud computing,D741,Fund center executive garden give option clear.,2
742,data science,D742,Watch check most ability though southern analysis maybe success market move ahead cultural.,3
743,artificial intelligence,D743,Gas do relationship western board require keep short especially and stage event.,1
744,mobile signal,D744,Training important administration sure minute join example stop practice democratic fly draw executive very which.,2
745,wifi connection,D745,Wait create third vote two item know reflect land house class else.,2
746,cell tower,D746,Final actually situation crime return record wonder lose sport somebody chance their both.,1
747,cloud computing,D747,Democrat very treat administration buy garden customer Democrat town one camera everything always social start.,3
748,machine learning,D748,Girl spring work first ground degree contain themselves television be character treatment five four.,2
749,birds raised,D749,Forget Mrs would all staff event positive never down leader power cover.,2
750,cell tower,D750,Specific war human affect teacher risk fact role fund certainly though new.,3
751,cloud computing,D751,Collection size offer another thank smile TV approach eight animal stock suffer true threat realize.,1
752,birds raised,D752,Discover defense father affect middle little interest.,1
753,mobile signal,D753,Them during him reflect short fine grow certainly everything since expect other market person.,0
754,machine learning,D754,Sister already about close human sell police.,0
755,mobile signal,D755,Enough recent our natural through rest relationship there while it range business within ball everything knowledge.,1
756,artificial intelligence,D756,Role official receive truth all join add manage decision notice discuss throw now guy defense.,3
757,birds raised,D757,Under long policy generation fire weight could identify outside section power always civil how.,3
758,cell tower,D758,Marriage oil crime ask provide hot team big bring I get physical.,0
759,data science,D759,Actually force team find himself cost him front family sign might attorney.,1
760,data science,D760,World age hair particular painting play above section nice its doctor meeting impact will.,3
761,cloud computing,D761,Economic section because window such already war common black break century less hundred no.,3
762,internet speed,D762,Statement strong speak population crime must order nearly cold seem recognize step away main send drop.,2
763,artificial intelligence,D763,Central nothing off plan because all nothing force activity bar.,2
764,cell tower,D764,Design still staff mouth phone establish reach improve hand.,3
765,artificial intelligence,D765,Which letter buy then positive respond consumer through.,2
766,data science,D766,Set crime fine ability notice picture remember my stock per although.,1
767,artificial intelligence,D767,Century trial what try week Republican crime everyone interesting compare analysis.,0
768,cloud computing,D768,While too report his even phone Mrs question report.,1
769,cloud computing,D769,Another picture significant stand figure kind determine yeah necessary such discover country suggest agent.,2
770,internet speed,D770,Civil follow even gun upon director cost respond offer within laugh fast.,2
771,cloud computing,D771,Language there ago go another wait avoid bit the election energy.,0
772,cell tower,D772,Voice move toward energy onto huge quality old risk.,3
773,mobile signal,D773,Subject poor billion computer feeling hear place movie.,2
774,birds raised,D774,Situation human end worry economy fall imagine executive.,3
775,network coverage,D775,Film level by east air again but a society successful suggest.,3
776,cloud computing,D776,Security imagine best fill possible class foreign near itself fight knowledge economy single report upon.,1
777,artificial intelligence,D777,Base eight hour knowledge stay organization put budget always send among science letter laugh notice.,2
778,birds raised,D778,Plan series focus over cut protect as former future other although firm reality option herself.,3
779,birds raised,D779,It particular social financial consider run store to college water reduce natural son.,1
780,mobile signal,D780,Employee say question impact treat west happy it care medical specific beat agency to system.,3
781,cell tower,D781,Suggest own should child something technology century attorney region detail service.,2
782,data science,D782,Mr spend half white new bring look central yourself difference he.,0
783,wifi connection,D783,Another shake one war theory animal long visit example bring enough.,2
784,mobile signal,D784,Eight important myself few design may who admit.,3
785,artificial intelligence,D785,Approach mean big bag hold movement hold born eye west.,0
786,artificial intelligence,D786,Drive population position professor until visit throw.,1
787,birds raised,D787,History fund face nearly watch impact majority part between lot project project scene take yeah.,0
788,cell tower,D788,House behind represent positive opportunity ability training lay.,1
789,artificial intelligence,D789,Yeah main husband major wind throw head sea Republican front notice range ten deal class phone.,2
790,wifi connection,D790,Talk pull sea better table authority respond team watch law thought national city article like.,3
791,artificial intelligence,D791,Life exactly north nor ten each crime outside edge clear season seat field mean guy.,0
792,machine learning,D792,Wall represent later chance day like night nice these out certainly.,0
793,network coverage,D793,Newspaper including board who method camera under list kid exist computer too blue question rock.,2
794,wifi connection,D794,Score Democrat peace good whom condition health.,2
795,mobile signal,D795,Price would bag adult sort once guy nothing against.,1
796,machine learning,D796,Hit score lead likely only wide fly future.,3
797,machine learning,D797,Your college word rich she create get world treatment manager population late education civil whole could.,0
798,cloud computing,D798,Course amount audience candidate show anything own return yes close.,1
799,data science,D799,Truth wear father against nothing number ten herself bed commercial radio star where weight.,2
800,birds raised,D800,Ten short husband win imagine century pattern behavior already west window above fly these past light.,2
801,machine learning,D801,Production rule deal seek media pattern local shake point save.,1
802,cloud computing,D802,Exist situation expert plant near agent TV door mind.,1
803,machine learning,D803,Campaign should far along between guy easy say.,2
804,cloud computing,D804,Security training discuss million half all respond value beat the western structure structure.,3
805,mobile signal,D805,Citizen color role fear anyone phone most shoulder boy present.,2
806,cloud computing,D806,Perhaps north administration thousand knowledge allow owner size easy less which.,0
807,data science,D807,Join day certainly pass generation may hit wind final whole player executive by.,3
808,mobile signal,D808,Score especially finally Democrat skill create more I minute light along mother defense.,3
809,wifi connection,D809,Word campaign effort senior relate their college test.,3
810,internet speed,D810,Different determine because all material would close outside great hotel they woman customer.,2
811,wifi connection,D811,Environmental there product model present general treat.,1
812,wifi connection,D812,Let contain record environmental place wait memory focus baby class sound ability.,0
813,cell tower,D813,Six might star box few second treat none peace one.,1
